priority,missing_knowledge,gap_ids,candidate_title,channel_author,url_or_location,date,duration,relevant_timestamps,source_tier,appears_to_teach,must_verify,expected_blocker_resolved,rights_access
P0,Push/level counting + tracers,"A-004,A-007,A-133",X07 SteveMauro060212 Part04 Level Count and 4 Trades,Steve Mauro,in-repo 01_SOURCE_VIDEOS/Forex Bootcamp/,2012-06-02,1:00:57,full,T3,Level counting method; four trades; possible tracer identity,Count-reset rule stated? tracer named?,H2 + possibly A-133,Owned; owner ingestion decision A-03
P0,Weekly structure & MM moves,"A-011,A-010,C-001",X04 Part01 Weekly Structure and Market Maker Moves,Steve Mauro,in-repo,2012-06-02,0:53:01,full,T3,Weekly cycle and structure anatomy,First-leg start/invalidation stated?,H1/H3 context,Owned; A-03
P0,Daily setup & session timing,"A-019,A-105,A-131",X05 Part02 Daily Setup and Time Mapping,Steve Mauro,in-repo,2012-06-02,0:45:53,full,T3,Session/time mapping,Timezone anchors; dealer clock,C-024 clocks,Owned; A-03
P0,Complete lifecycle & exits,H5 cols 5-14,X08 Trading Zone and Rules to Profit By,Steve Mauro,in-repo,2012-06-02,0:56:52,full,T3,Trade rules,Entry-to-exit path completeness,H5,Owned; A-03
P0,Stop management,H5 cols 9-13,X14 Part11 Managing Stop Loss,Steve Mauro,in-repo,2012-06-02,0:56:28,full,T3,Stop management rules,Exact rules vs anecdotes,H5,Owned; A-03
P0,Trap vs stop hunt,"A-009,A-049,C-006",X13 Part10 Trap Moves,Steve Mauro,in-repo,2012-06-02,0:52:25,full,T3,Trap-move anatomy,Discriminator vs stop hunt,SR-23,Owned; A-03
P0,Live no-lookahead walkthroughs,H5 col 15,BTMM Daily Market Review (DMR) playlist,Unverified re-uploader,https://www.youtube.com/playlist?list=PL2e3WEFavy-H2Jvz-eRTXgHCsQlPFYmgg,unknown,unknown,unknown,T3 if authentic,Live market reviews (prospective analysis),Uploader/dates/count — fetch failed; needs browser inspection,H3/H5 prospective evidence,Free; re-upload rights unclear
P0,"Cycle, M/W as stop hunts","A-011,A-004",BTMM COURSE DAY 1,Re-upload,https://www.youtube.com/watch?v=bCRbfmuHe2w,unknown,unknown,unknown,T3 if authentic,3-day/3-level cycle; M=stop hunt high W=stop hunt low; vectors; Brinks,Watch directly (only summary page verified),H1/H2 corroboration,Free; re-upload rights unclear
P0,Cycle continuation,"A-011,A-004",BTMM COURSE DAY 2,Re-upload,https://www.youtube.com/watch?v=zgIog6tUarQ,unknown,unknown,unknown,T3 if authentic,Course day 2,Watch directly,H1/H2,Free; re-upload rights unclear
P0,Canonical doctrine (all P0),all,beatthemarketmaker.com CORE course,Steve Mauro official,https://beatthemarketmaker.com/,current,n/a,n/a,T1,Official course + live reviews + forum,Curriculum and pricing,Residual P0 after X-series,Paid — only guaranteed T1 route
